# Items visually verified against their own tooltip and confirmed CORRECT.
# The audit stops re-flagging these. name<TAB>item_level<TAB>why
Omen of Doom	4800	OCR read the set-bonus line "+2.5% Power" as a rating; base stats verified 2026-08-31 (Damage 100 added separately)
Dread Confessor	4800	OCR misread 3,120 Accuracy as 3,320; tooltip matches JSON exactly
Rotsteel Band of Withering	4650	the non-(2) screenshot was mislabeled (it is Coil of Blight); both rings verified correct
Rotsteel Coil of Blight	4650	verified against the renamed screenshot; matches exactly
Cracked Earthshard Guard	4600	both Shirt and Pants variants verified correct
Soulbound Sword Knot of the Thayan Zealot	3300	OCR split "Deflect Severity" across text regions; tooltip matches JSON exactly
Pulsar Armet	2600	OCR welded a background number onto the Defense line; tooltip 1170/1950/780 CR2340 matches JSON exactly
Pulsar Breastplate	2600	same OCR noise; tooltip 1950/780/1170 CR2340 matches JSON exactly
Exalted Maiden's Rejuvenation Hood	2050	tooltip 1538 Critical Strike / 1538 Defense / CR1845 matches JSON; the Mitts defect did not propagate to the Hood
The Dark Maiden's Rejuvenation Hood	2000	tooltip 1500 Critical Strike / 1500 Defense / CR1800 matches JSON
Stormforged Longbow	2000	set sibling checked during the Stormforged Point fix; shape is correct
Antique Shield of the Vale	1700	the screenshots are the FIGHTER variant (id 6927), which matches exactly; the Paladin entry id 1090 is a separate item with no screenshot
Fortified Shield of the Vale	1800	same - Fighter variant id 6929 matches exactly; Paladin entry id 1092 unverified, not wrong
Prismatic Crystalflex Bracers	3700	corrected 2026-09-01 from 12 screenshots
Crystalflex Bracers	3350	corrected 2026-09-01 from 12 screenshots
Eternal Helm	1300	id 2345 (Paladin/Fighter) verified by n00b in-game 2026-09-01: Accuracy 337 / CA 337 / Defense 975 / CritAvoid 296 / CR 1170. The archived tooltips are the separate Barbarian variant (id 7432).
Eternal Boots	1300	all four class-group variants verified; Paladin/Fighter added as id 7431
Manticore Raid Armlets	756	NO equip bonus on the tooltip - stats run straight into Reinforced. The only Wizard piece and the only 'Armlets' in the family; do NOT give it Survivor's Parry. Stats verified correct 2026-09-01.
Pure Note of the Blessed Blade	1150	tooltip 862 Combat Advantage / 862 Critical Strike / CR 1035 matches JSON exactly; the flag was OCR reading 1,035 as 10035
The Legion Guard's Ever-seeing Eye	800	stats verified correct 2026-09-02; missing set tag tracked in audit_deferred.tsv
